page,rowType,productName,serviceName,pingMonitorId,healthMonitorId,apmEntityGuid,apmAppId,browserEntityGuid,scriptMonitorId
TFO,product,T&F Online (TFO),tfo-website-ui,,,,,,a9fd0495-e8c0-49ba-aa9d-03d20242570d
TFO,service,T&F Online (TFO),tfo-website-ui,8c386ef1-c0ce-473e-a41b-30192f5f2d2c,,,,,
Platform,product,Platform Core Services,platform-identity-website-ui,,,,,,
Platform,service,Platform Core Services,platform-auth-api,,,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw0NTgwNTM0Ng,45805346,,
Platform,service,Platform Core Services,platform-identity-website-ui,,,,,,
SP,product,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-auth-client-api,,d60adca3-da03-4b3e-9a9b-478e4ee974c6,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw2MTc4OTUwOTA,617895090,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-website-ui,,,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-journal-config-api,,2d87f1cc-000e-4cdd-ab85-638fe16779ee,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3NTc4OTA5MA,75789090,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-renderer-api,,3962a390-6382-4fd5-a0bc-955b6214cd70,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw5MDExNjc1OA,90116758,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-ro-api,,535a2910-768c-4f17-824d-66634337b9eb,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw2MjIxMTE4ODg,622111888,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-metadata-api,,d7b1d8b8-f8bf-4b4f-805b-f227ce429fe9,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3MDg0NDE5OTk,708441999,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-storage-api,,b4ece964-1d3e-4dc6-99df-38860162755c,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw1MDk2MzkzNTI,509639352,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-notifications-api,,b909f10b-ba91-40c5-ae3a-d2d273319056,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3NDExNzc2NQ,74117765,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-author-dashboard-ui,134a553e-d41e-410e-8269-ad93c003386a,bd0d73d1-5ab0-453a-84c6-906af202b6bb,,,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-events-notification-api,,202b1779-ea33-4acd-9293-4d2330cd1eac,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnwzNjk5NTE0MDc,369951407,,
SP,service,T&F Submission Portal/Author Dashboard,pj-submission-transfer-api,,ac77e20c-c8b6-4433-86f7-bdba3c6f1a5c,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw2NTQ0NjA5NzA,654460970,,
SD,product,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,,,,,,
SD,service,T&F Submission Dashboard (Internal),pj-submission-dashboard-ui,8e32f696-98bd-4eae-abdc-ac6e7d03c217,6797e62b-865e-4bda-97a2-2bfafef04c89,,,,
CATS,product,CATS,cats-website-ui,,,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3NDkyNjc5NjA,749267960,,d2514afd-94af-446d-8d93-39614e843b45
CATS,service,CATS,cats-website-ui,,,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3NDkyNjc5NjA,749267960,NDM4MDMwfEJST1dTRVJ8QVBQTElDQVRJT058NzcyMjg3NjY1,
CATS,service,CATS,cats-ecopyrights-api,,b0e1fef0-13f5-40c6-b18f-d54afec51138,,,,
CATS,service,CATS,cats-search-indexing-api,,23fcc7cc-4919-4524-a7d7-5939b724b344,,,,
CATS,service,CATS,cats-notifications-worker,,fd44e895-2a29-4f23-b4a6-7b4eb8bb7699,,,,
CATS,service,CATS,cats-manuscript-worker,,b77d79f7-9fad-4a5f-8107-6a267caa2b24,,,,
ME,product,T&F Matching Engine,,,,,,,
ME,service,T&F Matching Engine,dap-me-articlecategory-api,,1f6adbf3-3b29-46c2-8ea9-1ff4858da20a,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3MzA1OTMyOTk,730593299,,
ME,service,T&F Matching Engine,dap-me-licensemandate-api,,2922d9d6-a303-4b7b-afd9-162f09364812,,,,
ASC,product,Author Side Charges (ASC),pj-asc-website-ui,,,,,,
ASC,service,Author Side Charges (ASC),pj-asc-agree-author-ui,,5ffcaeaf-667b-4ea7-9e64-38ebfa62dff4,,,,
ASC,service,Author Side Charges (ASC),pj-asc-agree-admin-ui,857f26fe-0988-47d5-8378-85d7d83a82c0,50aeafb7-2669-475e-b10d-aa19f50970ff,,,,
ASC,service,Author Side Charges (ASC),pj-asc-ecs-api,,fbec570a-27b1-424d-950f-7e247c10b669,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3MzA4NDI4NTI,730842852,,
ASC,service,Author Side Charges (ASC),pj-asc-website-ui,e039670d-8d42-4d04-bb61-7490687413dc,dd5f45b5-24f8-4b09-947c-643c8025d785,,,,
ASC,service,Author Side Charges (ASC),pj-asc-dashboard-api,c1fc06a9-46b8-4fe2-9441-b8c7efab5582,6e58924c-2f3e-46fe-8d71-3173dce85ceb,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw1OTU5MDk4OQ,59590989,,
ASC,service,Author Side Charges (ASC),customers-api,,ebe796ed-67d5-4e7d-af54-66e212144ff0,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnwzNjk5MDY3Mg,36990672,,
ASC,service,Author Side Charges (ASC),orders-api,,e6c860c7-24fe-49e5-a6f2-c4e6aa0ae9cf,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw5MjMzMDg4Ng,92330886,,
RD,product,Research Dashboard (RD),pj-rd-dashboard-ui,,,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw2MDg4NTkyNA,60885924,,
RD,service,Research Dashboard (RD),pj-rd-dashboard-ui,,c580bf00-81f6-4c30-8924-cd62b55b9a9b,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw2MDg4NTkyNA,60885924,,
RD,service,Research Dashboard (RD),pcm-products-api,,598855c2-01cc-4c70-be86-23c4934e2a29,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnwyMjYwMzM2NzY,226033676,,
RD,service,Research Dashboard (RD),pj-rd-articlesearch-api,,d0e6de88-829c-46cd-963e-da5ef96a4997,NDM4MDMwfEFQTXxBUFBMSUNBVElPTnw3MzMyOTczMzY,733297336,,
Mulesoft,product,T&F Mulesoft,,,,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-customer-integration-api,,9fbadedc-dd42-4ab5-9579-35963bd64870,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-invoice-integration-api,,e2b9251a-73d6-4c9c-83bf-28b04ca75472,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-order-integration-api,,90ca219a-36e1-452c-8433-c9b58ab3db8f,,,,
Mulesoft,service,T&F Mulesoft,mule-sap-exchange-rate-integration-api,,60cf2ce7-d920-49fb-9a73-e0ffb0fae59f,,,,
Mulesoft,service,T&F Mulesoft,mule-sys-sap-informatf,,5479573c-2671-4a56-b9af-16df25c860ff,,,,
